planet_host,planet_host_gaia,neighbor,neighbor_gaia,dstArcSec,deltaTmag
317060587,6357524189130820992,317060585,6357524189130821376,11.502355351256915,4.6463
166184428,6113245033656232448,166184426,6113245033659187200,6.25581055237643,0.1628999999999987
81247740,1247603715050122752,81247738,1247603684985965184,12.366361779008223,2.873800000000001
460205581,5251470948229949568,847769574,5251470948222139904,2.3083839340342647,4.6982
460205581,5251470948229949568,460205587,5251470982589689344,5.442019077464168,3.1365
200322593,4785886941312921344,685449537,4785886975670558336,4.996716122407362,4.4613
207468071,1428639816392087552,207468069,1428639816392134016,11.886078778502803,3.9984400000000004
391949880,4621607053580909568,675054894,4621606297664620544,2.1685759770500264,2.5104000000000006
441738827,1652137995942479744,1271317080,1652137995942480000,14.02377430495695,4.955299999999999
305424003,5910312231273215872,1510534043,5910312231273215616,3.6433165618567025,0.9964999999999993
280655495,5409268527708808320,868157720,5409268527695668352,14.522432220138855,1.5458999999999996
201248411,4923860051276772608,616112169,4923860051276772480,3.777169399434456,4.396600000000001
230127302,1650110904522335744,230127303,1650110904522550784,4.5052171449186265,3.8362000000000016
181804752,3562427951852172288,181804751,3562427947556660992,14.79157302821474,4.520100000000001
256722647,2224458777730383616,256722646,2224458773435615232,5.240580429010217,3.7326999999999995
401604346,6373308503181838592,1988059412,6373308503181838080,1.8670028090245379,4.2179
68007716,3085216850017388672,68007714,3085216850017388032,8.883108930330854,2.180999999999999
466206508,6443054270942726144,466206509,6443054270942726016,8.660751515269686,4.846099999999998
218795833,5707485527450614656,218800726,5707485527450615680,12.215203625401541,1.5940000000000012
290131778,6790773586275235200,1992266045,6790773586276283648,1.3660195037324185,1.6565200000000004
142387023,1675511792082576384,142387022,1675511792082576128,7.153288329408672,4.141399999999999
243185500,2785466581298775680,243185499,2785466581298775552,10.518216917086509,2.5084
446549906,6633448311454447232,446549905,6633448315749609472,8.936589951819604,1.7029999999999994
259172249,2263568371970517120,259172251,2263568367675289728,4.755528552294846,2.5417000000000005
29960110,5157183324996790272,29960109,5157183324996789760,8.187390679121972,0.2530000000000001
102840239,5415648821879172096,102840237,5415648821874435584,6.043950997408798,2.051400000000001
