TIC,catogory1,Photometry1,catogory2,Photometry2,Literature,p_TGLC_value,p_TGLC_error,f_p_value,f_p_error
27318774,-,spoc,,,Morton2016,0.12034678112454926,0.005070811089438783,-0.007102793891527792,0.04243427175825154
27774415,-,spoc,,,Endl2011,0.10093181921769971,0.00197240207178207,0.012766753711172196,0.01929243835496777
27916356,-,spoc,,,Esteves2015,0.09814543209104676,0.0019348811170728272,0.01769998180949761,0.019365483609404596
27990610,-,spoc,,,Morton2016,0.12219491720544015,0.004832629348875817,0.0011555267344857123,0.039502830615694616
63452790,-,spoc,,,Gandolfi2015,0.12256721832620056,0.005703423872171975,-0.051990518542365693,0.048952304855159834
122441491,-,spoc,,,Hebrard2014,0.11281948354425199,0.005347985786456249,-0.03580507828823265,0.049100303087736476
122596693,-,spoc,,,Hebrard2014,0.13757970607768802,0.003564146052611029,-0.008719869658704082,0.026131942305533368
123233041,-,spoc,,,Esteves2015,0.09550132260188966,0.0017132427552581802,-0.022602374793873725,0.01834494080703704
123495874,-,spoc,,,Endl2014,0.09535994705272044,0.001530236110758027,0.0006076340517907619,0.016037197318748118
137683938,-,spoc,,,Morton2016,0.10462232133530802,0.00944896502911419,-0.0627312287281685,0.09598057171200552
137899948,-,spoc,,,Johnson2012,0.1802793212460402,0.005672006589259359,0.0051113775414897145,0.03130150914237361
138430864,-,spoc,,,Morton2016,0.1104912,0.016593450000000003,0.11526340563675508,0.13286879354859746
158170594,-,spoc,,,Esteves2015,0.1069995670508886,0.0025247734436204703,0.001640532265394845,0.023557398789516557
158388163,-,spoc,,,Morton2016,0.0778346744717179,0.0034289146669481,-0.020059049379224758,0.04493749680729361
159098316,-,spoc,,,Gandolfi2013,0.09616770753977347,0.003505964824851766,-0.036236701636839896,0.03777785203683491
159725995,-,spoc,,,Morton2016,0.1263669,0.01342815,0.14820916442786936,0.09051401204498888
164786087,-,spoc,,,Morton2016,0.1160927363340677,0.004285596846298081,-0.08163180230036704,0.03992874995602874
164892194,-,spoc,,,Esteves2015,0.0920086011809229,0.0026273814566005753,0.041191495320212934,0.027379567271901113
171974763,-,spoc,,,Morton2016,0.1390894,0.02266655,0.2411666555788914,0.12366243540477044
268159158,-,spoc,,,Morton2016,0.0871133,0.013893050000000002,0.037956965889903826,0.15342906278425078
268924036,-,spoc,,,Morton2016,0.12839125262365605,0.008249879577468736,0.090396043144925,0.058447308160780455
269269546,-,spoc,,,Morton2016,0.12638256400352496,0.010080561165175975,0.03359246270582572,0.07708286635100466
271042217,-,spoc,,,Bonomo2015,0.10513750235080878,0.0037355145313448385,0.022556363133885426,0.03472837786179187
271354351,-,spoc,,,Howell2010,0.13852703158686686,0.00917013286892751,0.042523740659909604,0.06338246345433662
272366748,-,spoc,,,Morton2016,0.11928898407125006,0.0066588853583892296,-0.006361601747720824,0.05617657478850223
273874849,-,spoc,,,Desert2011,0.13810192166531438,0.0055962862422039095,0.03511455159178123,0.03909992775709413
299220166,-,spoc,,,Hebrard2014,0.12328114412237429,0.003614928697291967,0.012226162604364377,0.028964137351704222
378085713,-,spoc,,,Morton2016,0.12284999999999999,0.0376956,0.24129277363108204,0.23280361515923637
399794420,-,spoc,,,Morton2016,0.1194904605881454,0.005759787259132249,-0.01327193075612687,0.048842650100090784
405717754,-,spoc,,,Esteves2015,0.12410802547438078,0.0013807136884398383,0.01867058156335122,0.010917383913934571
