TIC,catogory1,Photometry1,catogory2,Photometry2,Literature,p_TGLC_value,p_TGLC_error,f_p_value,f_p_error
176956893,3,\textttgiants,,,Saunders2022,0.038098593,0.001146602,0.054087562,0.028467863
178162579,2,QLP,,,Yee2023,0.096785722,0.001935802,0.038122609,0.019238413
178709444,2,SPOC,,,Hartman2024,0.182796884,0.00553264,0.015870762,0.029786244
179034327,3,SPOC,,,Oddo2023,0.038660467,0.001474561,0.156770079,0.032161887
183120439,3,QLP,3,SPOC,Nielsen2020,0.085330926,0.003940853,-0.015418734,0.046895257
183985250,3,SPOC,,,Jenkins2020,0.0569298,0.0127595,0.199047198,0.179515074
190496853,3,QLP,3,SPOC,Psaridi2023,0.107548775,0.001354193,0.066013671,0.011760226
192790476,3,SPOC,,,Mistry2023,0.043672243,0.001176412,0.081719531,0.024735999
194795551,2,QLP,,,Yee2022,0.125452671,0.001890446,0.003611705,0.015014574
198008005,2,QLP,2,SPOC,Hagelberg2023,0.10609414,0.001971292,0.070645292,0.017267958
198241702,3,SPOC,,,Polanski2024,0.026611332,0.00177378,0.029074565,0.064717102
198356533,3,SPOC,,,Pidhorodetska2024,0.026610911,0.001101527,0.340411302,0.027302885
198485881,3,SPOC,,,Schanche2022,0.069565368,0.004055769,0.076216934,0.053857985
199376584,3,\dagger,,,Dalba2020,0.082063502,0.000683976,0.199355846,0.006673145
200723869,3,SPOC,,,Addison2021b,0.0300877,0.00276915,-0.168972968,0.107587536
201177276,4,\dagger,4,SPOC,Bryant2024,0.1764777,0.003766365,0.020761719,0.020898783
206541859,4,\texttttesseract,,,Brahm2023,0.090466244,0.003755258,0.119436562,0.036552226
207110080,4,\dagger,2,SPOC,Ikwut-Ukwa2022,0.0906898,0.0140781,0.177422728,0.127691594
207141131,3,\dagger,3,SPOC,Desidera2023,0.030206638,0.001727581,-0.028836562,0.05884132
209459275,2,\dagger,2,SPOC,Ikwut-Ukwa2022,0.096065885,0.000805878,0.053480854,0.007940165
218795833,4,SPOC,,,Parviainen2021,0.305718283,0.009621134,0.010798681,0.031130745
219041246,3,SPOC,,,Ghachoui2024,0.058512612,0.004836266,0.073099767,0.076611449
219344917,3,SPOC,,,Mistry2024,0.022891115,0.001849404,0.073109816,0.074884719
219850915,3,SPOC,,,Polanski2024,0.031990025,0.001034257,0.058272609,0.030446614
219854185,3,SPOC,,,Moutou2021,0.081524279,0.000289289,0.067885091,0.00330761
219854519,3,\textttgiants,3,SPOC,Grunblatt2023,0.037163377,0.001491504,-0.039703695,0.041727158
219857012,3,SPOC,,,Polanski2024,0.022169594,0.001416716,0.135240082,0.055261257
220479565,3,SPOC,,,Cointepas2021,0.066450892,0.001933766,0.039789003,0.027942785
224297258,3,SPOC,,,Polanski2024,0.032744695,0.001850873,0.115639792,0.049987907
229510866,3,SPOC,,,Kabath2022,0.081688389,0.000205744,0.025556262,0.002454272
229742722,3,SPOC,,,Dong2023,0.076204562,0.001028009,0.137346698,0.011637296
230001847,3,\textttgiants,,,Grunblatt2022,0.029350098,0.001548885,0.021380201,0.051644438
231702397,3,SPOC,,,Waalkes2021,0.078165828,0.005592172,0.044839612,0.068334486
232540264,3,SPOC,,,Polanski2024,0.020573325,0.001413455,-0.051948529,0.072272316
232612416,3,SPOC,,,Polanski2024,0.076864107,0.000451161,0.065072518,0.005487644
232967440,3,SPOC,,,Yana Galarza2024,0.096494543,0.000817783,0.065161309,0.007922683
232976128,3,SPOC,,,Polanski2024,0.031330428,0.001955747,0.021798829,0.061062477
232982558,3,SPOC,,,Polanski2024,0.027758085,0.001639332,0.13414221,0.051135663
233087860,3,SPOC,,,Polanski2024,0.031538328,0.000798487,-0.004721048,0.02543753
237104103,3,SPOC,,,Moutou2021,0.06484183,0.00032893,0.060577445,0.004765506
237232044,3,SPOC,,,Polanski2024,0.028949592,0.001406819,0.028646621,0.047203368
237913194,3,\texttttesseract,,,Schlecker2020,0.109641974,0.008487356,0.03775625,0.074487035
237922465,4,QLP,3,SPOC,Eberhardt2023,0.085009414,0.00149348,0.139335085,0.015120508
239816546,2,SPOC,,,Yee2022,0.120943252,0.00154369,0.055652721,0.012053415
240823272,2,SPOC,,,Yee2022,0.148790833,0.002307104,0.018589795,0.015217436
246965431,3,SPOC,,,Pelaez-Torres2024,0.066004421,0.003728959,0.189519695,0.045788572
